signal_date,execution_date,next_execution_date,n_long,n_short,gated_flat,net_pips,variant
2023-12-28 22:00:00+00:00,2024-01-01 22:00:00+00:00,2024-02-01 22:00:00+00:00,3,3,False,164.70492335304564,momentum
2024-01-31 22:00:00+00:00,2024-02-01 22:00:00+00:00,2024-03-03 22:00:00+00:00,3,3,False,26.215963331854,momentum
2024-02-29 22:00:00+00:00,2024-03-03 22:00:00+00:00,2024-04-01 21:00:00+00:00,3,3,False,-23.944807850624777,momentum
2024-03-31 21:00:00+00:00,2024-04-01 21:00:00+00:00,2024-05-01 21:00:00+00:00,3,3,False,46.53315677119019,momentum
2024-04-30 21:00:00+00:00,2024-05-01 21:00:00+00:00,2024-06-02 21:00:00+00:00,3,3,False,172.98816212098174,momentum
2024-05-30 21:00:00+00:00,2024-06-02 21:00:00+00:00,2024-07-01 21:00:00+00:00,3,3,False,-22.197438738516325,momentum
2024-06-30 21:00:00+00:00,2024-07-01 21:00:00+00:00,2024-08-01 21:00:00+00:00,3,3,False,91.20293611201112,momentum
2020-11-30 22:00:00+00:00,2020-12-01 22:00:00+00:00,2021-01-03 22:00:00+00:00,3,3,False,-18.573379276065005,value
2020-12-30 22:00:00+00:00,2021-01-03 22:00:00+00:00,2021-02-01 22:00:00+00:00,3,3,False,-26.182825737367423,value
2021-01-31 22:00:00+00:00,2021-02-01 22:00:00+00:00,2021-03-01 22:00:00+00:00,3,3,False,45.15226895177167,value
2021-02-28 22:00:00+00:00,2021-03-01 22:00:00+00:00,2021-04-01 21:00:00+00:00,3,3,False,13.096239093038175,value
2021-03-31 21:00:00+00:00,2021-04-01 21:00:00+00:00,2021-05-02 21:00:00+00:00,3,3,False,-18.40143040515167,value
2021-04-29 21:00:00+00:00,2021-05-02 21:00:00+00:00,2021-06-01 21:00:00+00:00,3,3,False,14.354697184559953,value
2021-05-31 21:00:00+00:00,2021-06-01 21:00:00+00:00,2021-07-01 21:00:00+00:00,3,3,False,-91.84404842589602,value
2021-06-30 21:00:00+00:00,2021-07-01 21:00:00+00:00,2021-08-01 21:00:00+00:00,3,3,False,55.42739077354229,value
