JIT compiled.

============================================================================
PAIR: EUR_USD  OOS=409d
 reg_N   mode  ZW/atr tgt_f   ta  wick |      p/d       P5     nc  skip%   1L%   5+%   IS  OOS  perm_p | status
    20    atr 2.0×ATR   1.0   10  0.15 | 1149929187362295168.0 -341774807698950016.0   4136  67.6% 53.4%  9.6%    1/3    2/3   0.300 | 1/2 p=0.30
    20    atr 3.0×ATR   1.0   10  0.15 | -92753883589028640.0 -371080716375024256.0   2495  85.0% 60.9%  6.7%    3/3    2/3   0.480 | 3/2 p=0.48
    20    atr 4.0×ATR   1.0   10  0.15 | 3533876667394200.0 318085211672084.1   1471  94.9% 63.4%  6.3%    1/3    3/3   0.000 | 1/3 p=0.00
    20    atr 5.0×ATR   1.0   10  0.15 | 225324321680766.7    278.6    946  98.1% 64.5%  6.6%    1/3    3/3   0.055 | 1/3 p=0.06
    20    atr 2.0×ATR   1.0   10  0.25 | -175578334144055040.0 -581253249724817920.0   3940  75.7% 53.3%  9.6%    3/3    1/3   0.715 | 3/1 p=0.71
    20    atr 3.0×ATR   1.0   10  0.25 | -50091920505584792.0 -339915755127573120.0   2377  88.3% 60.6%  6.8%    2/3    2/3   0.540 | 2/2 p=0.54
    20    atr 4.0×ATR   1.0   10  0.25 | 1270486722321791.5 210056442.6   1472  95.7% 64.0%  6.3%    1/3    3/3   0.000 | 1/3 p=0.00
    20    atr 5.0×ATR   1.0   10  0.25 | 14882089063575.5   -128.5    839  98.5% 64.2%  5.6%    2/3    2/3   0.230 | 2/2 p=0.23
    30  fixed   30.0p   0.5    6  0.00 |    322.5    202.1   1523  98.2% 84.4%  1.2%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   50.0p   0.5    6  0.00 |    163.3     35.6    469  99.6% 91.7%  0.9%    3/3    3/3   0.000 | 🟢 PASS
    30  fixed   30.0p   0.5    6  0.15 |    315.8    185.6   1287  98.5% 83.5%  1.2%    3/3    3/3   0.000 | 🟢 PASS
