zone_width,tgt,ez,variant,gates,verdict,n,avg_legs,esc_pct,pnl_$,sharpe,sqn,wr,max_dd
50,42,0.85,boundary,5,PASS,2873,9.91472328576401,2.401670727462583,8951.699243016317,0.20073821246105186,10.759643089969748,62.79150713539854,-248.16784758269554
50,50,1.0,center,5,PASS,930,9.786021505376343,4.193548387096775,3547.466935948871,0.24708053684380327,7.534943680541381,62.903225806451616,-183.78040531085892
50,50,1.0,boundary,5,PASS,3004,9.93908122503329,1.3981358189081226,11479.069905812168,0.26379521804743694,14.458288379415565,64.01464713715048,-243.13639476127923
50,62,1.25,center,5,PASS,923,9.876489707475622,2.058504875406284,4129.715925894165,0.2751243400921405,8.358529207807935,62.51354279523294,-166.4312630820315
50,62,1.25,boundary,5,PASS,2720,9.977573529411766,0.7352941176470588,11056.859724545759,0.2519935810043145,13.142377275031649,64.8529411764706,-167.95205858198926
50,75,1.5,center,5,PASS,924,9.913419913419913,1.6233766233766231,4470.67568566624,0.28089253026997285,8.538393697341208,62.55411255411255,-151.98794446289213
50,75,1.5,boundary,5,PASS,3004,9.981025299600532,0.4993342210386152,12211.76780306275,0.2675678203596976,14.665060028178761,64.68042609853528,-248.94331441116083
50,100,2.0,center,5,PASS,925,9.955675675675675,0.7567567567567568,4671.550933778331,0.27785064269258397,8.450497391948643,62.16216216216216,-166.4312630820315
50,100,2.0,boundary,5,PASS,2893,9.990667127549257,0.27652955409609403,12183.345321076931,0.26290843050600726,14.140954646361928,64.25855513307985,-248.94331441116054
50,125,2.5,center,5,PASS,921,9.985884907709012,0.21715526601520088,4877.152367964537,0.27813644287209527,8.440879709254983,61.23778501628665,-152.48715993731807
50,125,2.5,boundary,5,PASS,2971,9.99562436889936,0.06731740154830024,11986.67992290973,0.252104663474633,13.741438714994501,64.32177717940087,-248.94331441116054
55,28,0.5,center,5,PASS,826,9.23728813559322,14.891041162227603,1738.3553267251093,0.1553045745202765,4.463486975009485,63.68038740920097,-265.28432360299865
55,28,0.5,boundary,5,PASS,2756,9.72532656023222,7.039187227866474,7686.40942307099,0.1987501211631876,10.433908135762177,64.15094339622641,-429.1034818161413
55,38,0.7,center,5,PASS,828,9.56280193236715,8.695652173913043,2442.0202045910282,0.1972379005858527,5.6755184473299165,63.04347826086957,-171.51383130034486
55,38,0.7,boundary,5,PASS,2768,9.88150289017341,3.1791907514450863,8793.57750849179,0.2145887567569865,11.289897695257348,63.25867052023122,-207.6017151799938
55,47,0.85,center,5,PASS,826,9.742130750605327,4.963680387409201,2733.4741117194503,0.1962182357974064,5.6393544262710495,63.31719128329297,-259.74923873281836
55,47,0.85,boundary,5,PASS,2533,9.910382945124358,1.9739439399921042,7450.9440353460195,0.18618038765466519,9.370257487431306,61.90288195815239,-217.46463837999704
55,55,1.0,center,5,PASS,821,9.831912302070645,3.0450669914738127,2538.7297079831815,0.17179688937103152,4.922513032303598,62.24116930572473,-265.28432360299865
55,55,1.0,boundary,5,PASS,2714,9.94620486366986,1.3264554163596167,11329.789856728099,0.2636960738500965,13.737527832684284,64.25939572586587,-197.1541880887188
55,69,1.25,center,5,PASS,824,9.902912621359222,1.9417475728155338,3106.1993141848166,0.19748558868097418,5.668902854611008,63.713592233009706,-290.02983340651
55,69,1.25,boundary,5,PASS,2514,9.973747016706444,0.8353221957040573,10746.835074462215,0.2570050927173664,12.886185116403247,63.32537788385044,-165.43620058358474
55,82,1.5,center,5,PASS,821,9.914738124238733,1.3398294762484775,3049.847195169313,0.19014965470744902,5.448376608053289,63.58099878197321,-279.90598550788246
55,82,1.5,boundary,5,PASS,2623,9.988181471597407,0.30499428135722456,11542.741237320244,0.27051610669996506,13.854545193917856,63.820053373999244,-167.6433167762775
55,110,2.0,center,5,PASS,808,9.967821782178218,0.6188118811881188,3392.9645097937496,0.20623675993238777,5.86235018803097,62.62376237623762,-262.1826078343374
55,110,2.0,boundary,5,PASS,2647,9.993199848885531,0.1511144692104269,11624.457223533083,0.26592427140171715,13.681538870501877,63.883641858707975,-225.62903269656235
55,138,2.5,center,5,PASS,811,9.988902589395808,0.12330456226880394,3638.543497226718,0.2067933269344538,5.889073130162906,63.37854500616523,-290.02983340651
55,138,2.5,boundary,5,PASS,2564,9.996879875195008,0.0,10536.193091371211,0.24913616685926487,12.61524788460804,65.05460218408736,-173.90808624030907
