half_zone_pips,target_beyond_pips,profit_factor,ez_ratio,n_cycles,net_pnl_pips,mean_pnl_pips,win_rate,sharpe,sqn,profit_factor_result,max_dd_pips,avg_legs,max_legs_hit_pct,exit_target_pct,exit_maxlegs_pct
20.0,10,1.3,0.25,13380,-58474.30000001019,-4.370276532138281,0.9108370702541106,-0.05311762394785934,-6.144219137557657,0.5881523083467198,-59364.90000000962,2.1948430493273543,0.09551569506726458,0.10971599402092676,0.0890134529147982
8.0,20,1.5,1.25,19921,-91336.49999991024,-4.584935495201559,0.8157221023041012,-0.05336705979435892,-7.532321422992856,0.754821812192525,-92576.99999991385,4.094422970734401,0.31835751217308367,0.05968575874705085,0.3112293559560263
20.0,10,1.19,0.25,13380,-57826.50000001002,-4.321860986547834,0.9108370702541106,-0.053980126336703085,-6.243986470692228,0.5871234406414988,-58711.700000009434,2.1948430493273543,0.09551569506726458,0.10971599402092676,0.0890134529147982
20.0,6,1.5,0.15,14532,-95278.0000000106,-6.556427195156248,0.9185246352876411,-0.054296064978171577,-6.545322509331238,0.4373913495332225,-96994.7000000098,1.8155105973025047,0.04328378750344068,0.1636388659510047,0.038604459124690335
25.0,3,1.3,0.06,13657,-135247.20000000042,-9.903141246247376,0.8353957677381563,-0.05433619827348503,-6.349900259179743,0.25343784499889427,-135407.79999999984,1.3303068023724098,0.009006370359522588,0.1631397817968807,0.007541919894559566
20.0,15,1.19,0.375,12492,-57634.89999999822,-4.613744796669726,0.8992955491514569,-0.05458359070194647,-6.100677808815909,0.6200856926271506,-58504.49999999851,2.489593339737432,0.1404098623118796,0.06676272814601344,0.13440601985270573
20.0,10,1.1,0.25,13380,-57147.000000009866,-4.271076233184594,0.907847533632287,-0.05462192549187939,-6.31822463043321,0.5867803255169942,-58026.800000009316,2.1948430493273543,0.09551569506726458,0.10971599402092676,0.0890134529147982
20.0,15,1.5,0.375,12492,-71471.09999999765,-5.721349663784634,0.9008965738072366,-0.0549274284011829,-6.139107728771527,0.6068916925453159,-72473.59999999814,2.489593339737432,0.1404098623118796,0.06676272814601344,0.13440601985270573
20.0,10,1.0,0.25,13380,-50125.30000000815,-3.7462855007479936,0.8912556053811659,-0.055147548273061446,-6.379024442458785,0.5913049788335407,-50851.90000000801,2.1948430493273543,0.09551569506726458,0.10971599402092676,0.0890134529147982
10.0,20,1.5,1.0,18010,-90900.59999991523,-5.047229317041379,0.8381454747362577,-0.05539497886652982,-7.43408046378672,0.7150683643341547,-91333.59999991649,3.6543586896168794,0.2713492504164353,0.05502498611882287,0.2664075513603554
25.0,3,1.5,0.06,13657,-139791.10000000062,-10.235857069634665,0.8383978911913305,-0.055608600181941754,-6.4985971769807245,0.24791455162792456,-139969.49999999919,1.3303068023724098,0.009006370359522588,0.1631397817968807,0.007541919894559566
20.0,15,1.1,0.375,12492,-56770.29999999821,-4.544532500800369,0.8978546269612552,-0.05571533397122429,-6.227170056016379,0.6200652919398439,-57629.69999999843,2.489593339737432,0.1404098623118796,0.06676272814601344,0.13440601985270573
