  Computing S/R history...
  S/R + regime masks done.

========================================================================
PAIR: EUR_USD  swing_w=5 cluster=10p touches=2  OOS=409d
  wick stop_f  range   tgt |      p/d       P5     nc   hit%  stop%   IS  OOS  perm_p | status
  0.15    1.5      0    15 |     -6.8    -11.6   5641  56.7%  43.3%    1/3    0/3   0.985 | 1/0 p=0.98
  0.15    1.5      0    20 |     -3.8     -8.3   4354  49.5%  50.5%    2/3    1/3   0.895 | 2/1 p=0.90
  0.15    1.5      0    25 |     -3.4     -8.6   3568  44.0%  56.0%    2/3    1/3   0.895 | 2/1 p=0.90
  0.15    1.5      0    30 |     -0.4     -5.3   3015  40.2%  59.8%    2/3    1/3   0.565 | 2/1 p=0.56
  0.15    1.5     50    15 |    -10.8    -15.7   5501  55.7%  44.3%    1/3    0/3   1.000 | 1/0 p=1.00
  0.15    1.5     50    20 |     -6.6    -10.8   4290  48.7%  51.3%    2/3    1/3   0.985 | 2/1 p=0.98
  0.15    1.5     50    25 |     -6.8    -11.7   3500  42.9%  57.1%    2/3    1/3   0.975 | 2/1 p=0.97
  0.15    1.5     50    30 |     -2.0     -7.2   2990  39.7%  60.3%    2/3    1/3   0.730 | 2/1 p=0.73
  0.15    1.5    100    15 |    -10.3    -15.1   5546  55.7%  44.3%    0/3    0/3   1.000 | 0/0 p=1.00
  0.15    1.5    100    20 |     -4.7     -9.6   4322  49.2%  50.8%    2/3    1/3   0.965 | 2/1 p=0.96
  0.15    1.5    100    25 |     -4.6     -9.7   3519  43.6%  56.4%    2/3    1/3   0.925 | 2/1 p=0.93
  0.15    1.5    100    30 |     -1.9     -6.6   3003  39.7%  60.3%    2/3    1/3   0.715 | 2/1 p=0.71
  0.25    0.5      0    15 |    -10.5    -14.6   7661  42.1%  57.9%    0/3    1/3   1.000 | 0/1 p=1.00
