pair,tf,metric,H,thr,dir,net_ppd,amddp5_ppd,n,wr
EUR_USD,1h,summary,1,0.5,fade,-18.66684625745619,-20.73986530690779,4784,40.92809364548495
EUR_USD,1h,summary,3,0.1,follow,-40.98426015008648,-57.74852799692116,9690,41.86790505675955
EUR_USD,1h,summary,3,0.1,fade,-40.507215701366256,-57.20593034442956,9690,44.8297213622291
EUR_USD,1h,summary,3,0.3,follow,-36.51675966903973,-50.35811429670953,7847,41.25143366891806
EUR_USD,1h,summary,3,0.3,fade,-29.293669424668153,-42.811160284779746,7847,45.367656429208616
EUR_USD,1h,summary,3,0.5,follow,-23.854531460457974,-32.87720608043104,4784,41.17892976588629
EUR_USD,1h,summary,3,0.5,fade,-15.998768520300173,-24.62625360785068,4784,46.509197324414714
EUR_USD,1h,summary,6,0.1,follow,-37.47731383490468,-81.53220704252439,9687,44.64746567564777
EUR_USD,1h,summary,6,0.1,fade,-43.99338079661347,-88.33166057340777,9687,47.186951584597914
EUR_USD,1h,summary,6,0.3,follow,-33.05229940350193,-69.28223205695579,7846,43.48712719857252
EUR_USD,1h,summary,6,0.3,fade,-32.75120261689444,-68.49994612276318,7846,48.34310476676013
EUR_USD,1h,summary,6,0.5,follow,-22.078660765826488,-45.636101597075275,4784,42.97658862876254
EUR_USD,1h,summary,6,0.5,fade,-17.77463921493166,-40.46889744083119,4784,49.62374581939799
EUR_USD,1h,osc_rating,1,0.1,follow,-25.128420242447234,-27.676948239368524,5893,38.40149329713219
EUR_USD,1h,osc_rating,1,0.1,fade,-23.894939388108504,-26.41263036367133,5893,40.45477685389445
EUR_USD,1h,osc_rating,1,0.3,follow,-7.061458533769451,-7.896378680007666,1756,40.148063781321184
EUR_USD,1h,osc_rating,1,0.3,fade,-7.1879930729266155,-8.026076582643759,1756,42.08428246013668
EUR_USD,1h,osc_rating,1,0.5,follow,-0.44217817971906875,-0.471248797383106,62,37.096774193548384
EUR_USD,1h,osc_rating,1,0.5,fade,-0.08289397729456696,-0.1029824898979916,62,48.38709677419355
EUR_USD,1h,osc_rating,3,0.1,follow,-28.242601500865707,-38.844995189532234,5893,42.52502969624979
EUR_USD,1h,osc_rating,3,0.1,fade,-20.780758129690028,-31.106369059072367,5893,44.883760393687425
EUR_USD,1h,osc_rating,3,0.3,follow,-7.182451414277496,-10.529647873773365,1756,42.42596810933941
EUR_USD,1h,osc_rating,3,0.3,fade,-7.06700019241857,-10.438614585337554,1756,46.69703872437358
EUR_USD,1h,osc_rating,3,0.5,follow,-0.5968828170098118,-0.7176794304406376,62,33.87096774193548
EUR_USD,1h,osc_rating,3,0.5,fade,0.071810659996176,8.081585532522665e-05,62,50.0
EUR_USD,1h,osc_rating,6,0.1,follow,-28.7194150471422,-56.70002309024395,5891,44.067221184858255
EUR_USD,1h,osc_rating,6,0.1,fade,-20.289628631903057,-47.304337117567854,5891,48.02240706161942
EUR_USD,1h,osc_rating,6,0.3,follow,-6.112449490090383,-14.62411391187217,1756,44.64692482915717
EUR_USD,1h,osc_rating,6,0.3,fade,-8.137002116605684,-16.780615739849843,1756,48.747152619589976
EUR_USD,1h,osc_rating,6,0.5,follow,-1.0178179719068412,-1.3608928227823454,62,29.03225806451613
EUR_USD,1h,osc_rating,6,0.5,fade,0.49274581489320557,0.29652491822204985,62,61.29032258064516
EUR_USD,1h,ma_rating,1,0.1,follow,-42.32095439676727,-46.35931114104281,9777,37.71095428045413
EUR_USD,1h,ma_rating,1,0.1,fade,-39.7154512218589,-43.68867038676173,9777,39.99181753093996
