tfs,lags,tp,ppd,tpd,n_is3,mean_h,p50_h,p90_h,short_hold,beats_baseline
M30+M15,"(1, 2, 8)",10,16.08,1.429,12,63.8,2.7,80.9,False,False
M30+M15,"(1, 2, 8)",15,20.77,1.287,12,62.5,4.2,109.7,False,False
M30+M15,"(1, 2, 8)",20,19.63,0.942,9,95.1,7.3,165.2,False,False
M30+M15,"(1, 2, 8)",30,18.23,0.576,8,178.2,15.9,400.9,False,False
M30+M15,"(1, 2, 10)",5,14.21,2.385,11,35.0,0.8,36.1,False,False
M30+M15,"(1, 2, 10)",10,16.88,1.471,10,48.8,1.9,59.8,False,False
M30+M15,"(1, 2, 10)",15,21.43,1.313,10,61.3,4.4,124.7,False,False
M30+M15,"(1, 2, 10)",20,19.76,0.944,8,95.2,7.3,159.4,False,False
M30+M15,"(1, 2, 10)",30,15.54,0.513,7,205.5,15.9,558.2,False,False
M30+M15,"(1, 2, 15)",5,14.9,2.56,12,31.4,0.8,35.4,False,False
M30+M15,"(1, 2, 15)",10,14.96,1.345,12,62.7,2.4,63.1,False,False
M30+M15,"(1, 2, 15)",15,17.98,1.121,12,95.8,4.8,133.9,False,False
M30+M15,"(1, 2, 15)",20,19.45,0.942,9,95.0,6.8,153.6,False,False
