rebal_idx,entry_ts,exit_ts,pair,direction,side,gross_pips,spread_rt_pips,carry_pips,net_pips
4800,2023-12-11 10:00:00+00:00,2023-12-27 02:00:00+00:00,AUD_JPY,-1,short,-135.39999999999992,1.850000000000307,-26.093012273972597,-163.34301227397282
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,USD_JPY,1,long,273.3000000000004,1.6999999999995907,32.07626805068494,303.67626805068574
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,AUD_JPY,1,long,-17.39999999999924,2.2500000000000853,16.22997473287671,-3.4200252671226146
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,EUR_GBP,1,long,-75.3999999999999,1.3499999999994072,-8.942555753698626,-85.69255575369795
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,NZD_USD,-1,short,99.70000000000034,1.5500000000001624,-2.458146493150684,95.6918535068495
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,EUR_USD,-1,short,70.00000000000117,1.60000000000049,2.132349589041096,70.53234958904177
4864,2023-12-27 02:00:00+00:00,2024-01-11 18:00:00+00:00,GBP_USD,-1,short,-30.200000000000227,1.7000000000000348,-4.916294884383559,-36.81629488438382
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,USD_JPY,1,long,235.3999999999985,1.6999999999995907,28.306506390410966,262.00650639040987
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,CAD_JPY,1,long,148.19999999999993,2.6000000000003354,16.95607984557908,162.55607984557867
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,EUR_JPY,1,long,107.99999999999841,2.349999999999852,21.576233815068495,127.22623381506705
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,AUD_USD,-1,short,83.79999999999943,1.50000000000039,0.20018897260274046,82.50018897260179
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,GBP_USD,-1,short,14.000000000000679,1.7000000000000348,-4.338717057534244,7.9612829424664
4928,2024-01-11 18:00:00+00:00,2024-01-26 10:00:00+00:00,NZD_USD,-1,short,119.69999999999925,1.5999999999999348,-2.2971871232876704,115.80281287671164
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,USD_JPY,1,long,155.79999999999927,1.8000000000000682,28.274544209589045,182.27454420958824
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,EUR_GBP,1,long,16.599999999999948,1.3499999999999623,-7.892691592191781,7.357308407808205
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,CHF_JPY,1,long,-39.79999999999961,2.600000000001046,1.4761793927837736,-40.92382060721688
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,GBP_USD,-1,short,119.40000000000062,1.7999999999995797,-4.341360266301367,113.25863973369967
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,EUR_USD,-1,short,80.40000000000046,1.5999999999993797,1.8814849315068494,80.68148493150792
4992,2024-01-26 10:00:00+00:00,2024-02-12 02:00:00+00:00,AUD_USD,-1,short,85.30000000000037,1.3500000000005175,0.20018897260274046,84.15018897260259
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,NZD_USD,1,long,43.79999999999939,1.5999999999999348,-2.275309150684932,39.92469084931452
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,AUD_USD,1,long,21.30000000000076,1.3999999999997348,-5.685366821917807,14.214633178083218
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,GBP_USD,1,long,56.400000000000894,1.9000000000002348,-6.4311471978082215,48.06885280219244
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,USD_JPY,-1,short,-150.20000000000095,1.7000000000010118,-39.11016742739726,-191.0101674273992
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,EUR_GBP,-1,short,-9.299999999999864,1.5500000000001624,0.35614080849314883,-10.493859191506877
5056,2024-02-12 02:00:00+00:00,2024-02-26 18:00:00+00:00,CHF_JPY,-1,short,-64.30000000000007,2.949999999999875,-19.777098468150687,-87.02709846815063
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,USD_JPY,1,long,-306.3999999999993,1.6000000000005343,28.141368456164383,-279.85863154383543
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,EUR_GBP,1,long,-3.8000000000004697,1.50000000000039,-7.8954999045205465,-13.195499904521405
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,NZD_JPY,1,long,-203.19999999999965,2.7499999999996305,15.85352582876712,-190.09647417123216
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,GBP_USD,-1,short,-85.80000000000031,1.80000000000069,-4.345765614246573,-91.94576561424758
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,AUD_USD,-1,short,-71.99999999999984,1.2499999999998623,0.20018897260274046,-73.04981102739696
5120,2024-02-26 18:00:00+00:00,2024-03-12 09:00:00+00:00,EUR_USD,-1,short,-68.79999999999997,1.5500000000012726,1.8814849315068494,-68.4685150684944
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,GBP_USD,1,long,-154.10000000000144,1.8499999999999073,-6.886109506849318,-162.83610950685068
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,AUD_USD,1,long,-83.19999999999993,1.0999999999999899,-6.091464452054792,-90.39146445205472
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,NZD_USD,1,long,-162.7999999999996,1.30000000000019,-3.122299232876713,-167.2222992328765
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,USD_JPY,-1,short,-403.9999999999992,1.650000000000773,-41.71730476027399,-447.36730476027395
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,EUR_JPY,-1,short,-293.2999999999993,1.7499999999998295,-37.00198345890412,-332.05198345890324
5184,2024-03-12 09:00:00+00:00,2024-03-27 01:00:00+00:00,NZD_JPY,-1,short,4.200000000000159,2.2999999999996135,-28.872239794520542,-26.972239794519997
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,GBP_USD,1,long,-76.89999999999974,1.9500000000005624,-6.397960243287672,-85.24796024328796
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,NZD_USD,1,long,-24.800000000000377,1.5999999999999348,-2.447207506849316,-28.847207506849628
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,EUR_USD,1,long,-87.29999999999905,1.5499999999990521,-10.668019561643836,-99.51801956164192
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,AUD_JPY,-1,short,-77.50000000000057,3.300000000000125,-22.531419897260268,-103.33141989726096
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,EUR_JPY,-1,short,-34.900000000001796,2.349999999999852,-34.283677773972606,-71.53367777397426
5248,2024-03-27 01:00:00+00:00,2024-04-10 17:00:00+00:00,NZD_JPY,-1,short,-51.9999999999996,3.200000000000358,-22.258691575342453,-77.45869157534241
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,EUR_GBP,1,long,2.1999999999999797,1.6999999999994797,-8.984516620410957,-8.484516620410457
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,NZD_USD,1,long,-45.30000000000034,1.5500000000001624,-2.6253567123287684,-49.475356712329265
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,GBP_USD,1,long,-62.29999999999958,1.8499999999999073,-7.74933743671233,-71.8993374367118
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,AUD_JPY,-1,short,-141.40000000000015,3.350000000000364,-27.256422534246568,-172.00642253424706
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,CHF_JPY,-1,short,-234.80000000000132,3.900000000000148,-21.36142575770548,-260.06142575770696
5312,2024-04-10 17:00:00+00:00,2024-04-25 09:00:00+00:00,EUR_JPY,-1,short,-193.79999999999882,2.5000000000005684,-41.460512876712336,-237.76051287671172
5376,2024-04-25 09:00:00+00:00,2024-05-10 01:00:00+00:00,NZD_JPY,1,long,145.19999999999982,2.7000000000001023,14.407002054794516,156.90700205479422
5376,2024-04-25 09:00:00+00:00,2024-05-10 01:00:00+00:00,AUD_JPY,1,long,168.80000000000024,1.75000000000054,13.901609589041088,180.9516095890408
