pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
NZD_USD,12,3072,ctr,93,54.83870967741935,0.31847617542161283,40,52.5,0.15790210598057686,-538.2000000000064
CAD_JPY,48,3072,trd,93,48.38709677419355,0.18901431549414735,40,45.0,0.12226932985225786,-1353.600000000003
GBP_USD,48,512,ctr,554,48.55595667870036,0.4366848121399748,238,48.739495798319325,0.11854302646630457,-1766.399999999983
AUD_JPY,12,256,ctr,1105,47.23981900452488,-1.2326760786018152,474,45.78059071729958,0.08873259937850157,-1120.799999999973
AUD_USD,48,512,ctr,554,49.458483754512635,-1.1363763720249505,238,48.319327731092436,0.07685500733581843,-973.5999999999921
GBP_USD,1,512,ctr,554,50.722021660649816,0.6686207135025053,238,46.63865546218487,0.052866929288530935,-1478.5000000000045
GBP_USD,3,3072,ctr,93,45.16129032258064,-1.1732232090812762,40,57.49999999999999,0.0337696244353763,-782.6999999999982
EUR_GBP,48,512,ctr,554,47.65342960288809,-0.3051316452445194,238,48.739495798319325,-0.02026177466129225,-682.6999999999916
GBP_USD,12,512,ctr,554,49.81949458483754,-3.3866226696568145,238,47.05882352941176,-0.04424985270844313,-1348.800000000012
AUD_JPY,48,3072,ctr,93,45.16129032258064,0.6112591509499535,40,47.5,-0.09082864503309385,-1379.6000000000024
USD_JPY,3,256,ctr,1105,49.140271493212666,-0.9859018563709222,474,49.57805907172996,-0.11737855665816703,-1937.6000000000085
AUD_JPY,1,512,ctr,554,47.65342960288809,-0.11253223209078357,238,52.52100840336135,-0.12017328419758165,-1558.8999999999837
CAD_JPY,1,3072,trd,93,47.31182795698925,-0.04331993005266229,40,47.5,-0.1744375772558473,-961.8999999999985
NZD_USD,12,256,trd,1105,49.86425339366516,-0.773285647951519,474,49.789029535864984,-0.18445201760606275,-1202.6000000001052
GBP_USD,3,256,ctr,1105,46.69683257918552,-5.006688467580155,474,48.52320675105485,-0.247100493282303,-2038.1999999999769
USD_JPY,12,256,ctr,1105,47.23981900452488,-4.386566158527712,474,47.257383966244724,-0.2564162517472228,-1943.999999999991
CAD_JPY,12,512,trd,554,48.014440433213,1.0140847074166806,238,49.159663865546214,-0.2699241015213967,-1758.9999999999823
NZD_JPY,48,3072,ctr,93,51.61290322580645,0.6639401693357898,40,52.5,-0.2717872532144154,-885.6000000000039
NZD_JPY,48,512,trd,554,47.292418772563174,-0.3552234264317944,238,49.57983193277311,-0.28739114864317356,-1501.2999999999965
CHF_JPY,1,512,trd,554,46.931407942238266,-2.6497855145773683,238,49.159663865546214,-0.2995016346476314,-2126.800000000032
NZD_JPY,48,3072,trd,93,48.38709677419355,-1.1224343255713005,40,42.5,-0.30788581726603825,-1163.4000000000071
AUD_JPY,48,256,ctr,1105,45.339366515837106,-2.5594609707663007,474,47.257383966244724,-0.3090502870741272,-1380.0999999999917
USD_JPY,1,256,ctr,1105,47.601809954751126,-1.0367903259269617,474,47.257383966244724,-0.31137922669035145,-1763.999999999996
CAD_JPY,1,3072,ctr,93,50.53763440860215,-0.3783273891265378,40,50.0,-0.3442172752792552,-964.2999999999959
AUD_JPY,48,3072,trd,93,54.83870967741935,-0.9795283494205685,40,52.5,-0.3768224299065674,-1898.300000000011
GBP_USD,12,64,ctr,4368,46.38278388278388,-9.748478052539266,1872,47.80982905982906,-0.37915136952235357,-1787.2999999999317
CHF_JPY,48,3072,ctr,93,48.38709677419355,-0.4203527005799579,40,50.0,-0.3856724004482103,-2173.799999999997
NZD_USD,12,512,ctr,554,52.166064981949454,-0.1938940317529934,238,49.57983193277311,-0.42433279807789004,-1074.700000000033
GBP_USD,3,3072,trd,93,54.83870967741935,0.7859330758059532,40,40.0,-0.4271275256172071,-760.9000000000021
NZD_USD,1,256,trd,1105,49.411764705882355,-0.5058971141783335,474,49.57805907172996,-0.4343472384278851,-794.300000000118
NZD_USD,12,3072,trd,93,45.16129032258064,-0.679973522757585,40,47.5,-0.4515813915876587,-597.5000000000041
EUR_GBP,1,512,ctr,554,46.02888086642599,-2.011837303273189,238,47.05882352941176,-0.4792957730209125,-695.8000000000175
CHF_JPY,48,3072,trd,93,50.53763440860215,-0.14549521334930038,40,50.0,-0.4809260307522145,-2491.900000000021
EUR_USD,12,3072,trd,93,47.31182795698925,0.4340955749414889,40,42.5,-0.5393824151196827,-1098.0000000000168
EUR_GBP,12,512,trd,554,48.375451263537904,-0.06662306483967471,238,50.84033613445378,-0.5493968554694758,-966.400000000005
NZD_JPY,1,512,ctr,554,47.47292418772563,0.19897292010394482,238,47.89915966386555,-0.5901532987534475,-1512.5
EUR_USD,3,512,ctr,554,47.47292418772563,-2.7075454213141135,238,51.68067226890757,-0.6055243002207888,-1056.2000000000403
GBP_JPY,3,256,ctr,1105,46.425339366515836,-4.887981900631268,474,49.57805907172996,-0.6115795432228823,-2254.699999999997
CAD_JPY,48,3072,ctr,93,50.53763440860215,-0.6078732253825977,40,52.5,-0.64092418238736,-1026.0000000000007
EUR_GBP,1,3072,ctr,93,43.01075268817204,-1.3002950039024328,40,47.5,-0.6774885343622706,-541.0999999999976
EUR_USD,48,64,ctr,4367,47.62995191206778,-3.945698732451174,1872,47.756410256410255,-0.6835437773644838,-1216.599999999919
EUR_GBP,3,512,ctr,554,47.292418772563174,-0.8560416522590445,238,43.69747899159664,-0.6842424592494122,-840.2000000000065
USD_JPY,48,3072,ctr,93,48.38709677419355,-4.017101927503759,40,45.0,-0.7054358097570613,-1891.300000000001
GBP_USD,48,3072,trd,93,47.31182795698925,-0.8926893172230417,40,47.5,-0.7517817081201308,-849.6000000000015
NZD_USD,48,512,trd,554,50.18050541516246,-0.9691714006264338,238,47.89915966386555,-0.8032512736390469,-1027.100000000064
