id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
156,asi_mc_008,NZD_USD,001-001-${OANDA_CUSTOMER_ID}-008,1195,1,0.57569,0.57653,2026-04-01 07:50:08.599084,2026-04-01 08:54:16.69078,8.4,S5_TRAIL_TP,1.07,13,15.9,10.8,0.53,,,false,""
159,wf_pnlmae,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-013,726,1,1.15957,1.15814,2026-04-01 09:08:37.925992,2026-04-01 09:28:59.963562,-14.3,S5_SOFT_STOP,0.34,18,1.3,15.2,-11.0,,,false,""
161,asi_mc_008,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-008,1259,1,1.15957,1.15814,2026-04-01 09:08:37.921716,2026-04-01 09:28:59.990168,-14.3,S5_SOFT_STOP,0.34,17,1.3,15.2,-11.0,,,false,""
160,range_neat,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-007,2936,1,1.15957,1.15814,2026-04-01 09:08:37.923985,2026-04-01 09:29:00.011978,-14.3,S5_SOFT_STOP,0.34,18,1.3,15.2,-11.0,,,false,""
162,wf_pnlmae,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-013,710,1,158.5,158.623,2026-04-01 08:39:31.173688,2026-04-01 09:31:00.624259,12.3,S5_TRAIL_TP,0.86,31,19.8,9.4,0.62,,,false,""
164,asi_mc_008,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1243,1,158.5,158.623,2026-04-01 08:39:31.169659,2026-04-01 09:31:00.643102,12.3,S5_TRAIL_TP,0.86,29,19.8,9.4,0.62,,,false,""
163,range_neat,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2920,1,158.5,158.623,2026-04-01 08:39:31.15721,2026-04-01 09:31:00.666706,12.3,S5_TRAIL_TP,0.86,32,19.8,9.4,0.62,,,false,""
165,pnl_mae_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-012,499,1,158.5,158.623,2026-04-01 08:39:31.16297,2026-04-01 09:31:00.689404,12.3,S5_TRAIL_TP,0.86,18,19.8,9.4,0.62,,,false,""
166,perpair_a,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-011,307,1,158.5,158.623,2026-04-01 08:39:31.168917,2026-04-01 09:31:00.709045,12.3,S5_TRAIL_TP,0.86,27,19.8,9.4,0.62,,,false,""
167,asi_mc_008,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1267,1,199.832,199.705,2026-04-01 09:26:30.99868,2026-04-01 09:34:32.397288,-12.7,S5_SOFT_STOP,0.13,10,0.0,15.1,0.0,,,false,""
169,wf_pnlmae,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-013,734,1,199.832,199.705,2026-04-01 09:26:31.005561,2026-04-01 09:34:32.416024,-12.7,S5_SOFT_STOP,0.13,11,0.0,15.1,0.0,,,false,""
168,pnl_mae_a,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-012,511,1,199.832,199.705,2026-04-01 09:26:31.078286,2026-04-01 09:34:32.433974,-12.7,S5_SOFT_STOP,0.13,11,0.0,15.1,0.0,,,false,""
170,range_neat,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2944,1,199.832,199.705,2026-04-01 09:26:30.997057,2026-04-01 09:34:32.454154,-12.7,S5_SOFT_STOP,0.13,11,0.0,15.1,0.0,,,false,""
171,ensemble_short,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1737,-1,158.599,158.745,2026-04-01 09:14:20.917551,2026-04-01 09:44:58.115162,-14.6,S5_SOFT_STOP,0.51,23,0.1,15.7,-146.0,,,false,""
172,range_neat,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2964,1,199.893,200.064,2026-04-01 09:42:41.174803,2026-04-01 09:56:08.257554,17.1,S5_TRAIL_TP,0.22,17,23.1,7.2,0.74,,,false,""
174,asi_mc_008,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1287,1,199.893,200.064,2026-04-01 09:42:41.188195,2026-04-01 09:56:08.277482,17.1,S5_TRAIL_TP,0.22,15,23.1,7.2,0.74,,,false,""
175,pnl_mae_a,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-012,527,1,199.893,200.064,2026-04-01 09:42:41.179316,2026-04-01 09:56:08.298504,17.1,S5_TRAIL_TP,0.22,13,23.1,7.2,0.74,,,false,""
173,wf_pnlmae,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-013,754,1,199.893,200.064,2026-04-01 09:42:41.178684,2026-04-01 09:56:08.310188,17.1,S5_TRAIL_TP,0.22,16,23.1,7.2,0.74,,,false,""
176,asi_mc_008,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-008,1279,1,183.708,183.955,2026-04-01 09:31:40.555016,2026-04-01 10:00:14.695472,24.7,S5_TRAIL_TP,0.48,24,31.0,7.8,0.8,,,false,""
178,range_neat,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2956,1,183.708,183.955,2026-04-01 09:31:40.555772,2026-04-01 10:00:14.713125,24.7,S5_TRAIL_TP,0.48,26,31.0,7.8,0.8,,,false,""
179,pnl_mae_a,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-012,519,1,183.708,183.955,2026-04-01 09:31:40.562031,2026-04-01 10:00:14.7416,24.7,S5_TRAIL_TP,0.48,13,31.0,7.8,0.8,,,false,""
