pair,S_bars,T_s_bars,W_pips,is_net,oos_net,oos_dd,oos_trades,oos_tp,oos_stag,oos_scratch,oos_end
EUR_JPY,24,96.0,15.0,-1361.2000000000007,-220.5999999999906,-487.6999999999995,61,33,20,7,1
EUR_JPY,48,,,-1344.200000000002,-314.49999999999875,-480.99999999999875,10,9,0,0,1
EUR_JPY,48,288.0,10.0,-1355.7000000000014,-316.10000000000196,-484.0999999999992,13,9,1,2,1
EUR_JPY,48,288.0,5.0,-1350.100000000003,-316.1999999999996,-484.19999999999686,13,9,1,2,1
EUR_JPY,48,96.0,15.0,-1385.8000000000013,-326.90000000000293,-495.39999999999964,18,12,1,4,1
EUR_JPY,72,,,-1426.7000000000005,-314.49999999999875,-480.99999999999875,10,9,0,0,1
EUR_JPY,72,288.0,10.0,-1426.7000000000005,-54.699999999996066,-436.6999999999964,54,38,9,6,1
EUR_JPY,72,288.0,5.0,-1426.7000000000005,-137.89999999999577,-447.3999999999976,48,33,9,5,1
EUR_JPY,72,96.0,15.0,-854.0000000000027,-334.2000000000037,-502.7000000000004,18,12,1,4,1
EUR_JPY,144,,,-1530.6999999999998,-314.49999999999875,-480.99999999999875,10,9,0,0,1
EUR_JPY,144,288.0,10.0,-1530.6999999999998,-24.49999999999841,-406.49999999999716,51,38,6,6,1
EUR_JPY,144,288.0,5.0,-1530.6999999999998,-107.69999999999811,-417.19999999999834,45,33,6,5,1
EUR_JPY,144,96.0,15.0,-677.9000000000038,-271.50000000000034,-487.6999999999995,20,14,0,5,1
EUR_JPY,288,,,-1454.6999999999994,-314.49999999999875,-480.99999999999875,10,9,0,0,1
EUR_JPY,288,288.0,10.0,-1454.6999999999994,-245.4999999999976,-423.899999999995,49,37,7,4,1
EUR_JPY,288,288.0,5.0,-1454.6999999999994,-258.49999999999557,-436.7999999999953,47,36,7,3,1
EUR_JPY,288,96.0,15.0,-1482.099999999999,-271.50000000000034,-487.6999999999995,20,14,0,5,1
GBP_JPY,12,,,-1606.5,-305.7999999999954,-593.8999999999992,23,19,3,0,1
GBP_JPY,12,288.0,10.0,-1601.3000000000006,-330.39999999999606,-593.8999999999992,26,19,4,2,1
GBP_JPY,12,288.0,5.0,-1604.5000000000018,-330.39999999999606,-593.8999999999992,26,19,4,2,1
