pair,T_s_h,k,is_net,oos_net,oos_dd,oos_trades,avg_W,oos_tp,oos_scratch,oos_end
AUD_USD,8,0.3,-268.4999999999986,600.3799999999989,-7.319999999999823,57,4.30579969751122,33,23,1
AUD_USD,8,0.5,-269.01999999999606,537.4199999999968,-12.620000000000118,58,7.142533495027126,32,25,1
AUD_USD,8,0.7,-271.2200000000005,131.0999999999999,-116.47999999999928,40,8.628916810334692,16,23,1
AUD_USD,8,1.0,-273.73999999999995,127.17999999999628,-167.35999999999987,52,13.665486901800685,24,27,1
AUD_USD,8,1.5,-277.0000000000002,89.71999999999503,-171.03999999999962,58,20.897435594571864,26,31,1
AUD_USD,8,2.0,-272.99999999999847,266.9599999999973,-86.74000000000132,69,28.129806757761525,33,35,1
AUD_USD,12,0.3,-270.03999999999826,-347.56000000000023,0.0,1,2.39664794135109,0,0,1
AUD_USD,12,0.5,-267.19999999999897,-347.56000000000023,0.0,1,3.9944132355851503,0,0,1
AUD_USD,12,0.7,-277.56000000000057,361.3600000000022,-25.75999999999894,39,9.196449853309117,23,15,1
AUD_USD,12,1.0,-279.7600000000005,214.3600000000002,-167.35999999999987,69,14.159251777151106,35,33,1
AUD_USD,12,1.5,-266.33999999999924,263.9999999999952,-170.24000000000103,90,22.703776819150303,51,38,1
AUD_USD,12,2.0,33.05999999999516,293.07999999999754,-207.6600000000004,112,30.669608642450754,62,49,1
AUD_USD,24,0.3,-246.1199999999996,-347.56000000000023,0.0,1,2.39664794135109,0,0,1
AUD_USD,24,0.5,-246.9199999999993,-347.56000000000023,0.0,1,3.9944132355851503,0,0,1
AUD_USD,24,0.7,-247.520000000001,-347.56000000000023,0.0,1,5.59217852981921,0,0,1
AUD_USD,24,1.0,-204.0399999999986,-347.56000000000023,0.0,1,7.9888264711703005,0,0,1
AUD_USD,24,1.5,328.6399999999986,-347.56000000000023,0.0,1,11.983239706755452,0,0,1
AUD_USD,24,2.0,-191.26000000000113,-347.56000000000023,0.0,1,15.977652942340601,0,0,1
AUD_USD,48,0.3,-235.4600000000005,-347.56000000000023,0.0,1,2.39664794135109,0,0,1
AUD_USD,48,0.5,-243.55999999999912,-347.56000000000023,0.0,1,3.9944132355851503,0,0,1
AUD_USD,48,0.7,-243.0600000000003,-347.56000000000023,0.0,1,5.59217852981921,0,0,1
AUD_USD,48,1.0,-235.85999999999976,-347.56000000000023,0.0,1,7.9888264711703005,0,0,1
AUD_USD,48,1.5,-226.68000000000035,-347.56000000000023,0.0,1,11.983239706755452,0,0,1
AUD_USD,48,2.0,-241.3599999999997,-347.56000000000023,0.0,1,15.977652942340601,0,0,1
