ci,name,is_pnl,is_ntrd,c0,c1,c2
703,b3_r1_n8_E1_X3c_2_5,20564.3,3030,3791.2,13390.6,3382.5
702,b3_r1_n8_E1_X3c_2_3,20562.4,3027,3818.0,13378.6,3365.8
717,b3_r1_n8_E2_X3c_2_3,20555.0,3023,3825.3,13363.9,3365.8
718,b3_r1_n8_E2_X3c_2_5,20554.7,3026,3802.1,13370.1,3382.5
2119,b5_r3_n6_E2_X3b_1,20299.6,4285,3981.1,12732.8,3585.7
2126,b5_r3_n6_E2_X3c_1_5,20290.7,4286,3981.1,12723.9,3585.7
2125,b5_r3_n6_E2_X3c_1_3,20278.4,4286,3981.1,12723.9,3573.4
1601,b4_r3_n8_E1_X3c_1_5,19995.6,3680,4654.4,11511.9,3829.3
1600,b4_r3_n8_E1_X3c_1_3,19983.4,3679,4654.4,11511.9,3817.1
1594,b4_r3_n8_E1_X3b_1,19978.2,3677,4654.4,11508.4,3815.4
1558,b4_r3_n5_E2_X3c_2_5,19153.0,10970,2846.3,14847.9,1458.8
1557,b4_r3_n5_E2_X3c_2_3,19079.1,10958,2809.7,14836.8,1432.6
1550,b4_r3_n5_E2_X3b_2,18807.4,10926,2754.1,14763.3,1290.0
1616,b4_r3_n8_E2_X3c_1_5,18203.2,2445,4015.4,10894.4,3293.4
1615,b4_r3_n8_E2_X3c_1_3,18203.2,2445,4015.4,10894.4,3293.4
1609,b4_r3_n8_E2_X3b_1,18199.7,2445,4015.4,10890.9,3293.4
1363,b4_r2_n5_E1_X3c_2_5,17923.6,10339,3418.0,12847.3,1658.3
1931,b5_r2_n6_E1_X3c_1_5,17789.8,2712,3337.4,10819.2,3633.2
1939,b5_r2_n6_E2_X3b_1,17773.7,1980,3289.5,10940.9,3543.3
1946,b5_r2_n6_E2_X3c_1_5,17769.5,1981,3289.5,10932.0,3548.0
1945,b5_r2_n6_E2_X3c_1_3,17769.5,1981,3289.5,10932.0,3548.0
1930,b5_r2_n6_E1_X3c_1_3,17767.0,2711,3341.4,10820.7,3604.9
1924,b5_r2_n6_E1_X3b_1,17733.1,2708,3337.4,10828.1,3567.6
1362,b4_r2_n5_E1_X3c_2_3,17693.6,10342,3352.8,12718.2,1622.6
1408,b4_r2_n6_E2_X3c_2_5,17560.1,3793,3340.7,11420.1,2799.3
1400,b4_r2_n6_E2_X3b_2,17558.1,3780,3321.2,11443.6,2793.3
1407,b4_r2_n6_E2_X3c_2_3,17552.4,3792,3342.7,11408.7,2801.0
1355,b4_r2_n5_E1_X3b_2,17422.6,10206,3140.7,12719.7,1562.2
1528,b4_r3_n4_E2_X3c_2_5,17111.8,17991,1000.1,15739.2,372.5
1220,b4_r1_n6_E2_X3b_2,17098.2,3275,3099.0,11162.4,2836.8
1228,b4_r1_n6_E2_X3c_2_5,17079.6,3293,3132.9,11088.7,2858.0
1587,b4_r3_n6_E2_X3c_2_3,17057.4,6642,2862.0,12439.4,1756.0
1588,b4_r3_n6_E2_X3c_2_5,17044.2,6642,2862.0,12434.5,1747.7
1227,b4_r1_n6_E2_X3c_2_3,17035.9,3296,3160.5,11015.2,2860.2
1205,b4_r1_n6_E1_X3b_2,17012.5,3296,3087.0,11105.3,2820.2
1580,b4_r3_n6_E2_X3b_2,16984.4,6632,2822.4,12433.3,1728.7
1213,b4_r1_n6_E1_X3c_2_5,16963.3,3314,3088.7,11022.7,2851.9
1527,b4_r3_n4_E2_X3c_2_3,16920.5,17946,986.1,15611.5,322.9
1212,b4_r1_n6_E1_X3c_2_3,16916.1,3317,3119.5,10947.9,2848.7
