ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
10377,b30_r3_n4_E1_X3c_3_5_bf3,3,3849.3,320,213.2,2717.2,918.9
10345,b30_r3_n4_E1_X3b_3_bf3,3,3804.2,320,213.2,2672.1,918.9
6676,b20_r1_n3_E2_X3b_1,0,3799.6,296,181.9,1545.1,2072.6
9500,b30_r2_n3_E1_X3b_2,0,3779.1,864,644.3,1039.3,2095.5
9719,b30_r2_n4_E2_X3c_3_5_bf7,7,3758.9,183,389.2,2474.8,894.9
9380,b30_r2_n2_E1_X3b_2,0,3740.5,941,673.1,1605.7,1461.7
3320,b10_r2_n5_E2_X3b_2,0,3708.9,1055,73.5,1717.6,1917.8
10284,b30_r3_n3_E2_X3b_3,0,3666.7,353,233.3,2526.9,906.5
10164,b30_r3_n2_E2_X3b_3,0,3666.7,353,233.3,2526.9,906.5
9532,b30_r2_n3_E1_X3c_2_5,0,3662.4,894,574.8,1119.0,1968.6
6616,b20_r1_n3_E1_X3b_1,0,3651.1,409,106.2,1539.9,2005.0
9717,b30_r2_n4_E2_X3c_3_5_bf3,3,3646.5,205,370.1,2219.6,1056.8
9562,b30_r2_n3_E2_X3b_2_bf5,5,3633.3,428,262.8,1641.9,1728.6
7484,b20_r2_n4_E1_X3c_1_5,0,3600.8,1624,42.1,1473.5,2085.2
9561,b30_r2_n3_E2_X3b_2_bf3,3,3600.7,435,262.0,1601.8,1736.9
6276,b15_r3_n6_E1_X7_8,0,3512.7,661,165.6,2066.9,1280.2
6700,b20_r1_n3_E2_X3c_1_3,0,3499.6,298,164.3,1260.7,2074.6
2392,b10_r1_n3_E2_X3c_2_5,0,3486.6,3426,74.1,1587.9,1824.6
9501,b30_r2_n3_E1_X3b_2_bf3,3,3485.2,685,552.7,56.5,2876.0
9592,b30_r2_n3_E2_X3c_2_5,0,3478.1,472,255.8,1903.6,1318.7
7480,b20_r2_n4_E1_X3c_1_3,0,3475.8,1621,42.1,1410.8,2022.9
7456,b20_r2_n4_E1_X3b_1,0,3472.1,1620,42.1,1407.1,2022.9
2388,b10_r1_n3_E2_X3c_2_3,0,3465.1,3418,71.2,1876.5,1517.4
6704,b20_r1_n3_E2_X3c_1_5,0,3450.7,296,182.4,1241.7,2026.6
6640,b20_r1_n3_E1_X3c_1_3,0,3439.8,411,128.2,1324.7,1986.9
10109,b30_r3_n2_E1_X7_3_bf3,3,3424.5,214,474.6,2854.2,95.7
10229,b30_r3_n3_E1_X7_3_bf3,3,3424.5,214,474.6,2854.2,95.7
9687,b30_r2_n4_E2_X3b_3_bf7,7,3392.2,179,267.6,2515.5,609.1
10319,b30_r3_n3_E2_X3c_3_5_bf7,7,3384.0,336,253.8,2574.1,556.1
10199,b30_r3_n2_E2_X3c_3_5_bf7,7,3384.0,336,253.8,2574.1,556.1
4304,b10_r3_n8_E2_X3c_1_5,0,3371.4,616,143.8,1304.6,1923.0
4300,b10_r3_n8_E2_X3c_1_3,0,3371.4,616,143.8,1304.6,1923.0
4276,b10_r3_n8_E2_X3b_1,0,3371.4,616,143.8,1304.6,1923.0
9668,b30_r2_n4_E2_X1_8,0,3361.2,140,212.4,1002.0,2146.8
3440,b10_r2_n6_E2_X3b_2,0,3323.7,459,197.9,1356.7,1769.1
10317,b30_r3_n3_E2_X3c_3_5_bf3,3,3318.0,344,226.2,2526.7,565.1
10197,b30_r3_n2_E2_X3c_3_5_bf3,3,3318.0,344,226.2,2526.7,565.1
7406,b20_r2_n3_E2_X3b_3_bf5,5,3274.8,635,799.5,1391.1,1084.2
4636,b15_r1_n4_E2_X3b_1,0,3271.9,229,125.4,1213.9,1932.6
10287,b30_r3_n3_E2_X3b_3_bf7,7,3269.3,336,253.8,2505.3,510.2
10167,b30_r3_n2_E2_X3b_3_bf7,7,3269.3,336,253.8,2505.3,510.2
10318,b30_r3_n3_E2_X3c_3_5_bf5,5,3263.3,343,234.0,2605.4,423.9
10198,b30_r3_n2_E2_X3c_3_5_bf5,5,3263.3,343,234.0,2605.4,423.9
6644,b20_r1_n3_E1_X3c_1_5,0,3261.9,409,135.1,1240.1,1886.7
10378,b30_r3_n4_E1_X3c_3_5_bf5,5,3257.7,291,98.3,1810.2,1349.2
9563,b30_r2_n3_E2_X3b_2_bf7,7,3252.3,408,221.2,1373.7,1657.4
9412,b30_r2_n2_E1_X3c_2_5,0,3239.3,1036,401.0,1345.7,1492.6
4664,b15_r1_n4_E2_X3c_1_5,0,3235.4,229,113.8,1196.9,1924.7
4660,b15_r1_n4_E2_X3c_1_3,0,3223.6,229,114.3,1186.5,1922.8
2508,b10_r1_n4_E2_X3c_2_3,0,3219.1,1063,172.5,1187.9,1858.7
10346,b30_r3_n4_E1_X3b_3_bf5,5,3212.6,291,98.3,1765.1,1349.2
10285,b30_r3_n3_E2_X3b_3_bf3,3,3203.3,344,226.2,2457.9,519.2
10165,b30_r3_n2_E2_X3b_3_bf3,3,3203.3,344,226.2,2457.9,519.2
3468,b10_r2_n6_E2_X3c_2_3,0,3174.0,463,128.2,1214.7,1831.1
6164,b15_r3_n5_E1_X3c_1_5,0,3169.6,1778,84.0,729.9,2355.7
6160,b15_r3_n5_E1_X3c_1_3,0,3169.6,1778,84.0,729.9,2355.7
6136,b15_r3_n5_E1_X3b_1,0,3169.6,1778,84.0,729.9,2355.7
9611,b30_r2_n4_E1_X1_8_bf7,7,3168.2,139,1297.0,179.3,1691.9
8218,b20_r3_n4_E1_X3c_3_5_bf5,5,3165.6,610,244.4,1255.4,1665.8
8186,b20_r3_n4_E1_X3b_3_bf5,5,3149.7,608,244.4,1219.2,1686.1
