ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
9404,b30_r2_n2_E1_X3c_1_5,0,2933.1,4943,147.3,267.5,2518.3
9686,b30_r2_n4_E2_X3b_3_bf5,5,2930.4,297,1196.1,1593.2,141.1
10471,b30_r3_n5_E1_X7_3_bf7,7,2920.1,179,581.6,668.3,1670.2
9500,b30_r2_n3_E1_X3b_2,0,2900.5,1378,1426.2,878.8,595.5
9400,b30_r2_n2_E1_X3c_1_3,0,2889.0,4941,116.1,254.6,2518.3
7664,b20_r2_n5_E2_X3c_1_5,0,2840.1,445,492.8,601.9,1745.4
7660,b20_r2_n5_E2_X3c_1_3,0,2840.1,445,492.8,601.9,1745.4
3588,b10_r2_n8_E2_X3c_2_3,0,2835.9,191,232.5,676.7,1926.7
3592,b10_r2_n8_E2_X3c_2_5,0,2825.3,191,221.9,676.7,1926.7
7600,b20_r2_n5_E1_X3c_1_3,0,2817.2,1127,323.2,932.0,1562.0
7604,b20_r2_n5_E1_X3c_1_5,0,2817.2,1127,323.2,932.0,1562.0
9376,b30_r2_n2_E1_X3b_1,0,2809.4,4940,116.1,235.2,2458.1
3560,b10_r2_n8_E2_X3b_2,0,2809.2,191,221.9,676.7,1910.6
9608,b30_r2_n4_E1_X1_8,0,2807.9,333,796.4,1219.0,792.5
7636,b20_r2_n5_E2_X3b_1,0,2799.9,445,492.8,561.7,1745.4
7576,b20_r2_n5_E1_X3b_1,0,2777.0,1127,323.2,891.8,1562.0
4668,b15_r1_n4_E2_X3c_2_3,0,2744.3,483,304.4,740.9,1699.0
8776,b30_r1_n3_E1_X3b_1,0,2705.5,227,125.4,1155.7,1424.4
8004,b20_r3_n2_E2_X3b_3,0,2647.7,1304,582.7,475.4,1589.6
8124,b20_r3_n3_E2_X3b_3,0,2647.7,1304,582.7,475.4,1589.6
6211,b15_r3_n5_E2_X7_3_bf7,7,2627.4,707,518.8,1657.5,451.1
10559,b30_r3_n5_E2_X3c_3_5_bf7,7,2622.9,292,1165.8,1263.1,194.0
6376,b15_r3_n8_E1_X3b_1,0,2609.7,727,52.1,447.3,2110.3
6404,b15_r3_n8_E1_X3c_1_5,0,2609.7,727,52.1,447.3,2110.3
6400,b15_r3_n8_E1_X3c_1_3,0,2609.7,727,52.1,447.3,2110.3
10527,b30_r3_n5_E2_X3b_3_bf7,7,2595.1,291,1165.8,1230.3,199.0
10511,b30_r3_n5_E2_X1_8_bf7,7,2572.5,195,629.8,1112.6,830.1
10524,b30_r3_n5_E2_X3b_3,0,2566.4,329,1191.1,672.5,702.8
6094,b15_r3_n4_E2_X7_5_bf5,5,2564.0,946,413.6,560.2,1590.2
4672,b15_r1_n4_E2_X3c_2_5,0,2547.8,483,340.3,648.7,1558.8
10556,b30_r3_n5_E2_X3c_3_5,0,2543.6,331,1191.1,654.7,697.8
3532,b10_r2_n8_E1_X3c_2_5,0,2537.8,263,15.0,616.3,1906.5
8836,b30_r1_n3_E2_X3b_1,0,2535.4,168,239.8,1134.7,1160.9
8864,b30_r1_n3_E2_X3c_1_5,0,2523.3,168,273.0,944.4,1305.9
3528,b10_r2_n8_E1_X3c_2_3,0,2522.9,263,40.0,629.0,1853.9
10464,b30_r3_n5_E1_X3b_3,0,2521.9,489,513.6,672.7,1335.6
3500,b10_r2_n8_E1_X3b_2,0,2506.0,263,15.0,616.3,1874.7
10095,b30_r3_n2_E1_X2_bf7,7,2483.5,605,469.4,56.1,1958.0
10215,b30_r3_n3_E1_X2_bf7,7,2483.5,605,469.4,56.1,1958.0
8489,b20_r3_n6_E2_X7_3_bf3,3,2473.4,370,498.4,683.4,1291.6
8156,b20_r3_n3_E2_X3c_3_5,0,2469.7,1310,532.8,434.3,1502.6
8036,b20_r3_n2_E2_X3c_3_5,0,2469.7,1310,532.8,434.3,1502.6
8860,b30_r1_n3_E2_X3c_1_3,0,2436.7,168,273.0,825.6,1338.1
8804,b30_r1_n3_E1_X3c_1_5,0,2432.2,227,251.0,841.0,1340.2
