ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
4156,b10_r3_n6_E2_X3b_1,0,5058.4,1543,0.0,9.7,1,1587.7,434,3.72,1
4184,b10_r3_n6_E2_X3c_1_5,0,5058.4,1543,0.0,9.7,1,1587.7,434,3.72,1
2536,b10_r1_n5_E1_X3b_1,0,5210.6,449,0.0,10.89,1,1581.0,137,3.7,1
3464,b10_r2_n6_E2_X3c_1_5,0,5185.0,474,0.0,10.73,1,1517.7,116,3.56,1
3436,b10_r2_n6_E2_X3b_1,0,5209.8,474,0.0,10.77,1,1517.7,116,3.56,1
3460,b10_r2_n6_E2_X3c_1_3,0,5185.0,474,0.0,10.73,1,1517.7,116,3.56,1
3400,b10_r2_n6_E1_X3c_1_3,0,5623.7,948,0.0,11.5,1,1505.5,257,3.53,1
3376,b10_r2_n6_E1_X3b_1,0,5648.5,948,0.0,11.54,1,1506.2,257,3.53,1
3404,b10_r2_n6_E1_X3c_1_5,0,5623.7,948,0.0,11.5,1,1505.5,257,3.53,1
8216,b20_r3_n4_E1_X3c_3_5,0,5422.7,837,0.003,5.27,1,75.3,302,0.18,1
916,b5_r2_n3_E2_X3b_1,0,77582.0,20000,0.0,177.79,1,0.0,0,0.0,0
940,b5_r2_n3_E2_X3c_1_3,0,77893.5,20000,0.0,178.71,1,0.0,0,0.0,0
224,b5_r1_n3_E2_X3c_1_5,0,66452.0,20000,0.0,152.3,1,0.0,0,0.0,0
944,b5_r2_n3_E2_X3c_1_5,0,78083.6,20000,0.0,179.2,1,0.0,0,0.0,0
1696,b5_r3_n4_E1_X3b_1,0,54752.0,20000,0.0,124.46,1,0.0,0,0.0,0
1724,b5_r3_n4_E1_X3c_1_5,0,55047.0,20000,0.0,125.11,1,0.0,0,0.0,0
1720,b5_r3_n4_E1_X3c_1_3,0,55069.4,20000,0.0,125.13,1,0.0,0,0.0,0
220,b5_r1_n3_E2_X3c_1_3,0,66371.5,20000,0.0,151.93,1,0.0,0,0.0,0
976,b5_r2_n4_E1_X3b_1,0,61316.9,20000,0.0,139.97,1,0.0,0,0.0,0
1000,b5_r2_n4_E1_X3c_1_3,0,61469.2,20000,0.0,140.24,1,0.0,0,0.0,0
196,b5_r1_n3_E2_X3b_1,0,65932.8,20000,0.0,150.87,1,0.0,0,0.0,0
1004,b5_r2_n4_E1_X3c_1_5,0,61561.6,20000,0.0,140.71,1,0.0,0,0.0,0
8184,b20_r3_n4_E1_X3b_3,0,5623.6,827,0.004,5.18,1,-135.0,300,-0.32,0
10351,b30_r3_n4_E1_X7_3_bf7,7,4815.0,149,0.013,3.22,1,-1382.4,56,-3.24,0
10231,b30_r3_n3_E1_X7_3_bf7,7,4886.8,167,0.022,2.58,1,-1752.1,68,-4.11,0
10111,b30_r3_n2_E1_X7_3_bf7,7,4886.8,167,0.022,2.58,1,-1752.1,68,-4.11,0
10468,b30_r3_n5_E1_X7_3,0,5960.6,193,0.006,4.77,1,-2075.0,82,-4.86,0
10104,b30_r3_n2_E1_X3b_3,0,4823.7,385,0.012,2.84,1,-2317.5,169,-5.43,0
10224,b30_r3_n3_E1_X3b_3,0,4823.7,385,0.012,2.84,1,-2317.5,169,-5.43,0
10350,b30_r3_n4_E1_X7_3_bf5,5,6063.0,184,0.003,4.68,1,-2729.3,73,-6.4,0
10108,b30_r3_n2_E1_X7_3,0,6260.7,234,0.004,5.38,1,-3147.7,108,-7.38,0
10228,b30_r3_n3_E1_X7_3,0,6260.7,234,0.004,5.38,1,-3147.7,108,-7.38,0
10110,b30_r3_n2_E1_X7_3_bf5,5,7446.2,196,0.0,7.43,1,-3948.2,88,-9.25,0
10230,b30_r3_n3_E1_X7_3_bf5,5,7446.2,196,0.0,7.43,1,-3948.2,88,-9.25,0
