pair,arm,direction,entry_ts,entry_px,exit_ts,exit_px,exit_reason,held_bars,gross_pips,spread_rt_pips,carry_pips,net_pips,mfe_pips,mae_pips,entry_W_pips
USD_JPY,A,-1,2026-07-02 12:30:00+00:00,160.698,2026-07-03 06:30:00+00:00,160.49800000000002,tp,216,19.999999999998863,2.000000000001023,-1.7135280273972604,16.28647197260058,0.0,-75.39999999999907,12.013713530461148
NZD_USD,A,1,2026-07-02 12:35:00+00:00,0.57154,2026-07-03 12:35:00+00:00,0.5712,scratch,288,-3.4000000000000696,1.5500000000001624,0.0,-4.950000000000232,11.799999999999589,-25.800000000000267,12.493923064292638
GBP_USD,A,1,2026-07-03 05:30:00+00:00,1.33738,2026-07-03 17:30:00+00:00,1.3356,scratch,144,-17.80000000000115,2.100000000000435,0.0,-19.900000000001583,7.500000000000284,-27.999999999999137,22.634021302696723
GBP_JPY,A,1,2026-07-02 01:45:00+00:00,215.975,2026-07-06 00:35:00+00:00,215.715,scratch,562,-25.99999999999909,2.899999999999636,2.129526219178082,-26.770473780820645,10.099999999999909,-134.4999999999999,27.389085609696593
GBP_JPY,A,1,2026-07-06 00:35:00+00:00,215.715,2026-07-06 02:10:00+00:00,215.915,tp,19,19.999999999998863,3.499999999999659,0.0,16.499999999999204,20.09999999999934,-8.500000000000796,26.58889593866502
GBP_JPY,A,1,2026-07-06 02:10:00+00:00,215.904,2026-07-06 05:35:00+00:00,216.10399999999998,tp,41,19.999999999998863,3.7500000000008527,0.0,16.24999999999801,20.699999999999363,-6.19999999999834,27.029195026943537
GBP_JPY,A,1,2026-07-06 05:35:00+00:00,216.07,2026-07-06 06:05:00+00:00,216.26999999999998,tp,6,19.999999999998863,3.4500000000008413,0.0,16.549999999998022,22.59999999999991,-2.400000000000091,25.120390638715335
GBP_USD,A,-1,2026-07-06 00:00:00+00:00,1.33494,2026-07-06 07:00:00+00:00,1.33294,tp,84,20.000000000000018,1.8499999999999073,0.0,18.150000000000112,14.799999999999258,-3.9999999999995595,15.107178870433513
GBP_JPY,A,1,2026-07-06 06:05:00+00:00,216.201,2026-07-06 07:05:00+00:00,216.40099999999998,tp,12,19.999999999998863,3.0000000000001137,0.0,16.99999999999875,22.49999999999943,-2.2999999999996135,25.426197970210936
GBP_JPY,A,1,2026-07-06 07:05:00+00:00,216.388,2026-07-06 10:20:00+00:00,216.588,tp,39,19.999999999998863,2.7999999999991587,0.0,17.199999999999704,22.399999999998954,-10.400000000001342,26.425905102073138
GBP_JPY,A,1,2026-07-06 10:20:00+00:00,216.611,2026-07-06 13:30:00+00:00,216.81099999999998,tp,38,19.999999999998863,3.149999999999409,0.0,16.849999999999454,23.199999999999932,-15.299999999999159,27.990826919338023
GBP_JPY,A,1,2026-07-06 13:30:00+00:00,216.788,2026-07-06 16:20:00+00:00,216.988,tp,34,19.999999999998863,3.2499999999998863,0.0,16.749999999998977,21.79999999999893,-18.600000000000705,28.168686117393527
NZD_USD,A,1,2026-07-03 12:35:00+00:00,0.5712,2026-07-06 17:40:00+00:00,0.57005,scratch,348,-11.500000000000954,1.4499999999995072,-0.3781763835616438,-13.328176383562106,2.1999999999999797,-35.200000000000784,11.684071915558947
