ci,name,is_pnl,is_ntrd,c0,c1,c2
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,20803.7,3128,5516.0,7778.8,7508.8
2448,atr20_m0p5_r1_n5_E1_X3b_1,20795.8,3128,5522.0,7784.2,7489.6
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,20790.0,3128,5514.6,7783.3,7492.1
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,20222.2,2720,5134.9,7647.8,7439.5
2528,atr20_m0p5_r2_n5_E1_X3b_1,20203.6,2720,5132.4,7647.8,7423.3
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,20190.7,2720,5129.2,7649.7,7411.8
1248,atr14_m0p5_r1_n5_E1_X3b_1,19284.9,2798,5062.3,7246.9,6975.7
1252,atr14_m0p5_r1_n5_E1_X3c_1_5,19277.8,2798,5045.9,7255.3,6976.5
1254,atr14_m0p5_r1_n5_E1_X3c_1_3,19265.2,2798,5021.8,7276.3,6967.1
1328,atr14_m0p5_r2_n5_E1_X3b_1,18105.3,2430,4717.1,6862.9,6525.3
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,18100.8,2430,4708.9,6866.7,6525.1
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,18091.5,2430,4706.9,6869.5,6515.1
2628,atr20_m0p5_r3_n6_E1_X3c_1_5,17905.9,3181,4560.3,6552.6,6793.0
2624,atr20_m0p5_r3_n6_E1_X3b_1,17905.9,3181,4560.3,6552.6,6793.0
2630,atr20_m0p5_r3_n6_E1_X3c_1_3,17893.4,3181,4557.8,6542.6,6793.0
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,17016.8,3112,4276.9,6485.4,6254.5
1424,atr14_m0p5_r3_n6_E1_X3b_1,17016.8,3112,4276.9,6485.4,6254.5
1428,atr14_m0p5_r3_n6_E1_X3c_1_5,17016.8,3112,4276.9,6485.4,6254.5
48,atr7_m0p5_r1_n5_E1_X3b_1,16395.5,2254,4283.9,6206.1,5905.5
52,atr7_m0p5_r1_n5_E1_X3c_1_5,16381.4,2254,4275.4,6204.2,5901.8
54,atr7_m0p5_r1_n5_E1_X3c_1_3,16369.7,2254,4275.6,6192.8,5901.2
132,atr7_m0p5_r2_n5_E1_X3c_1_5,15912.3,2121,4157.0,5870.5,5884.8
128,atr7_m0p5_r2_n5_E1_X3b_1,15905.6,2121,4154.1,5870.5,5881.0
134,atr7_m0p5_r2_n5_E1_X3c_1_3,15886.0,2121,4154.5,5870.5,5861.0
228,atr7_m0p5_r3_n6_E1_X3c_1_5,15525.5,3068,3929.6,5791.0,5804.9
224,atr7_m0p5_r3_n6_E1_X3b_1,15525.5,3068,3929.6,5791.0,5804.9
230,atr7_m0p5_r3_n6_E1_X3c_1_3,15521.7,3068,3929.6,5787.2,5804.9
2464,atr20_m0p5_r1_n6_E1_X3b_1,13000.5,1144,3477.5,4589.8,4933.3
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,12987.6,1144,3464.6,4589.8,4933.3
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,12987.3,1144,3464.1,4589.9,4933.3
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,12428.7,1055,3206.8,4451.9,4770.0
2544,atr20_m0p5_r2_n6_E1_X3b_1,12427.7,1055,3205.8,4451.9,4770.0
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,12424.7,1055,3202.8,4451.9,4770.0
1264,atr14_m0p5_r1_n6_E1_X3b_1,11587.7,997,3091.2,3899.0,4597.5
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,11576.9,997,3080.4,3899.0,4597.5
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,11575.2,997,3078.7,3899.0,4597.5
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,11420.5,6458,2587.0,4424.7,4408.8
1344,atr14_m0p5_r2_n6_E1_X3b_1,11120.9,931,2918.4,3782.2,4420.3
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,11118.7,6446,2464.8,4398.6,4255.3
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,11112.7,931,2910.1,3782.2,4420.3
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,11108.7,931,2906.1,3782.2,4420.3
2656,atr20_m1p0_r1_n3_E1_X3b_1,10931.6,6415,2416.5,4362.8,4152.3
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,10558.4,2713,2520.9,4098.8,3938.7
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,10532.6,2713,2539.9,4059.3,3933.4
2529,atr20_m0p5_r2_n5_E1_X3b_2,10448.6,2713,2510.3,4022.1,3916.2
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,10390.8,6150,2104.4,4205.7,4080.7
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,10238.5,6141,2014.4,4077.3,4146.8
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9978.5,3110,2669.7,3789.7,3519.1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9931.1,3108,2637.9,3865.4,3427.8
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9925.6,3110,2646.5,3794.5,3484.6
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,9815.0,11030,1619.9,4766.4,3428.6
70,atr7_m0p5_r1_n6_E1_X3c_1_3,9796.5,841,2529.0,3422.8,3844.7
68,atr7_m0p5_r1_n6_E1_X3c_1_5,9792.7,841,2529.0,3422.8,3840.9
64,atr7_m0p5_r1_n6_E1_X3b_1,9792.7,841,2529.0,3422.8,3840.9
2736,atr20_m1p0_r2_n3_E1_X3b_1,9692.4,11029,1597.6,4673.8,3421.0
1456,atr14_m1p0_r1_n3_E1_X3b_1,9668.9,6119,1856.5,3844.8,3967.6
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,9656.3,11030,1596.7,4648.4,3411.2
1329,atr14_m0p5_r2_n5_E1_X3b_2,9555.9,2420,2322.7,3532.4,3700.8
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,9390.1,2421,2338.0,3443.3,3608.8
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,9382.0,2420,2303.2,3428.7,3650.1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,9374.2,799,2560.7,3145.6,3667.9
144,atr7_m0p5_r2_n6_E1_X3b_1,9374.2,799,2560.7,3145.6,3667.9
150,atr7_m0p5_r2_n6_E1_X3c_1_3,9368.5,799,2560.7,3145.6,3662.2
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,9237.6,3733,2451.9,3112.1,3673.7
2758,atr20_m1p0_r2_n4_E1_X3c_1_3,9236.4,3733,2441.6,3100.1,3694.7
2752,atr20_m1p0_r2_n4_E1_X3b_1,9234.8,3733,2441.6,3108.2,3685.0
260,atr7_m1p0_r1_n3_E1_X3c_1_5,9217.5,5619,1642.6,4341.3,3233.6
262,atr7_m1p0_r1_n3_E1_X3c_1_3,9114.2,5635,1773.6,4197.7,3142.9
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,9094.1,2790,2390.8,3395.0,3308.3
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,9049.6,2790,2373.3,3380.6,3295.7
1249,atr14_m0p5_r1_n5_E1_X3b_2,8915.7,2789,2317.6,3380.7,3217.5
